54.210.173.210 - - "2018-02-21 08:07:54" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/32 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:09:01" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/33 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:10:02" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/16 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:11:02" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/15 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
66.249.64.93 bot - "2018-02-21 08:11:48" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/84/68 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
54.210.173.210 - - "2018-02-21 08:12:03" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/57 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:13:03" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/54 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:14:04" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/11 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:15:05" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/30 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:16:05" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/22 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:17:05" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/26 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:18:06" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/55 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:19:07" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/29 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:20:43" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/38 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
